"belang" "moskee" "koran"
"103" 4 3 5
"104" 3 1 1
"105" 4 1 1
"106" 3 1 1
"107" 4 1 1
"108" 4 1 1
"109" 5 3 1
"111" 4 1 1
"112" 5 1 1
"113" 1 1 1
"114" 3 1 1
"115" 3 1 1
"116" 2 1 1
"117" 2 1 1
"118" 2 1 1
"119" 1 1 1
"120" 5 5 5
"121" 5 3 2
"122" 5 1 1
"123" 4 1 1
"124" 3 1 1
"125" 5 5 4
"126" 5 1 1
"127" 3 1 1
"128" 4 1 1
"129" 5 1 1
"130" 5 3 1
"131" 5 5 5
"132" 5 1 3
"133" 5 4 1
"134" 5 5 5
"135" 5 5 5
"136" 5 4 1
"137" 3 2 3
"138" 4 1 1
"139" 5 3 3
"140" 5 1 1
"141" 5 5 5
"142" 5 5 5
"143" 5 5 5
"144" 1 1 1
"145" 4 1 1
"146" 1 2 3
"147" 5 2 2
"148" 4 1 1
"149" 5 5 5
"150" 5 1 1
"151" 5 4 3
"152" 5 1 1
"153" 5 4 4
"154" 4 1 1
"155" 5 5 3
"156" 5 5 3
"157" 5 5 5
"158" 5 5 1
"159" 4 1 1
"160" 3 1 1
"161" 3 1 1
"162" 3 1 1
"163" 3 1 1
"164" 4 1 1
"165" 3 1 1
"166" 3 1 1
"167" 3 1 1
"168" 4 1 1
"169" 3 1 1
"170" 4 1 1
"171" 3 1 1
"172" 3 1 1
"173" 3 1 1
"174" 2 1 1
"175" 3 1 1
"176" 5 1 1
"177" 3 1 1
"179" 5 1 1
"180" 3 1 1
"181" 3 1 1
"182" 4 1 1
"183" 1 1 1
"184" 2 1 1
"185" 4 1 1
"186" 4 1 1
"187" 5 1 1
"188" 3 1 1
"189" 3 1 1
"190" 3 1 1
"191" 1 1 1
"192" 3 1 1
"193" 3 1 1
"194" 3 1 1
"195" 3 1 1
"196" 4 1 1
"197" 4 1 1
"198" 3 1 1
"199" 1 1 1
"200" 4 1 1
"201" 2 1 1
"202" 1 1 1
"204" 2 1 1
"205" 2 1 1
"206" 3 1 1
"207" 4 1 1
"208" 1 1 1
"209" 3 1 1
"210" 3 1 1
"211" 3 1 1
"212" 2 1 1
"213" 5 5 5
"214" 5 5 1
"215" 5 2 3
"216" 5 5 4
"217" 5 5 3
"218" 5 4 5
"219" 5 3 5
"220" 5 5 5
"221" 5 3 2
"222" 5 4 5
"223" 5 1 4
"224" 5 3 3
"225" 5 5 5
"226" 4 1 1
"227" 5 4 5
"228" 5 5 5
"229" 5 5 5
"230" 5 5 5
"231" 5 5 5
"232" 5 4 2
"233" 4 1 1
"234" 5 5 5
"235" 5 5 5
"236" 5 1 1
"237" 4 1 1
"238" 5 5 2
"239" 5 4 3
"240" 5 3 3
"241" 5 5 2
"242" 5 3 3
"243" 5 4 1
"244" 5 4 4
"245" 5 4 1
"246" 5 5 5
"247" 5 5 5
"248" 5 4 4
"249" 5 1 1
"250" 1 1 1
"251" 5 3 2
"252" 5 4 4
"253" 5 4 3
"254" 5 3 3
"255" 5 3 4
"256" 3 1 1
"257" 3 1 1
"258" 5 4 4
"259" 4 1 1
"260" 5 1 1
"261" 5 3 1
"262" 4 1 1
"263" 5 1 1
"264" 2 1 1
"265" 3 1 1
"266" 3 1 1
"267" 5 4 5
"268" 4 1 1
"269" 5 1 1
"270" 3 1 1
"271" 3 1 1
"272" 4 3 4
"273" 5 1 1
"274" 3 1 1
"275" 3 3 2
"276" 3 1 1
"277" 4 1 1
"278" 3 1 2
"279" 5 1 1
"280" 5 4 3
"281" 5 5 5
"282" 5 5 5
"283" 3 1 1
"284" 3 1 1
"285" 3 1 1
"286" 2 1 1
"287" 5 1 1
"288" 3 1 1
"289" 5 1 1
"290" 3 1 1
"291" 3 1 1
"292" 5 3 2
"293" 3 1 1
"294" 2 1 1
"295" 5 5 2
"296" 3 1 1
"297" 5 3 5
"298" 3 1 1
"299" 1 1 1
"300" 1 5 5
"301" 4 1 1
"302" 3 1 1
"303" 3 1 1
"304" 4 1 1
"305" 5 1 1
"306" 1 1 1
"307" 5 1 1
"308" 5 4 3
"309" 3 1 1
"310" 5 1 1
"311" 1 1 1
"312" 3 1 1
"313" 2 1 1
"314" 3 1 1
"315" 4 1 1
"316" 3 1 1
"317" 1 1 1
"318" 3 1 1
"319" 2 1 1
"320" 1 1 1
"321" 4 1 1
"322" 1 1 1
"323" 2 1 1
"324" 2 1 1
"325" 1 1 1
"326" 4 1 1
"327" 2 1 1
"328" 3 1 1
"329" 3 1 1
"330" 1 1 1
"331" 3 1 1
"332" 5 5 3
"333" 5 5 5
"334" 4 1 1
"336" 5 5 4
"337" 4 1 1
"338" 5 5 5
"339" 5 4 4
"340" 1 3 1
"341" 5 5 1
"342" 5 5 4
"343" 5 1 3
"344" 5 1 1
"345" 5 5 5
"346" 4 4 4
"347" 5 1 1
"349" 3 1 1
"350" 5 4 4
"351" 5 4 3
"352" 5 5 1
"353" 5 3 3
"354" 5 5 1
"355" 5 5 4
"356" 1 1 1
"357" 5 5 5
"358" 5 4 5
"359" 5 4 3
"360" 3 1 1
"361" 4 4 1
"362" 4 1 1
"363" 3 1 1
"364" 3 1 1
"365" 4 1 1
"366" 5 3 3
"367" 5 5 4
"368" 2 1 1
"369" 4 1 1
"370" 5 4 1
"371" 4 1 1
"372" 5 1 1
"373" 5 4 3
"374" 5 5 5
"375" 5 5 5
"376" 5 4 3
"377" 5 3 4
"378" 3 1 1
"379" 4 1 1
"380" 3 1 1
"381" 4 1 1
"382" 3 1 1
"383" 2 1 1
"384" 4 1 1
"385" 5 1 1
"386" 4 1 1
"387" 3 1 1
"388" 4 1 1
"389" 5 2 1
"390" 2 1 1
"391" 3 1 1
"392" 3 1 1
"393" 5 5 1
"394" 3 1 1
"395" 4 2 1
"396" 4 1 1
"397" 3 1 1
"398" 3 1 3
"399" 5 5 5
"400" 4 2 2
"401" 3 1 1
"402" 4 1 1
"403" 2 1 1
"404" 3 1 1
"405" 4 1 1
"406" 5 4 4
"407" 5 5 3
"408" 5 4 3
"409" 5 4 5
"410" 5 3 4
"411" 5 4 4
"412" 5 4 4
"413" 5 2 4
"414" 5 2 1
"415" 1 1 1
"416" 5 3 3
"417" 5 2 1
"418" 5 3 3
"419" 5 3 1
"420" 5 2 2
"421" 5 5 5
"422" 5 5 4
"423" 5 5 5
"424" 4 3 1
"425" 5 4 3
"426" 5 3 4
"428" 4 2 1
"429" 5 4 4
"430" 5 5 5
"431" 5 3 2
"432" 5 3 4
"433" 5 4 1
"434" 5 3 1
"435" 5 4 3
"436" 5 5 1
"437" 5 4 2
"438" 5 4 4
"439" 5 1 1
"440" 1 1 1
"441" 5 4 4
"442" 3 1 1
"443" 3 1 1
"445" 3 1 1
"446" 3 1 1
"447" 3 1 1
"448" 5 4 4
"449" 1 1 1
"450" 3 1 1
"451" 4 4 2
"452" 3 1 1
"453" 5 4 5
"454" 5 1 1
"455" 4 1 1
"456" 3 1 1
"457" 1 1 1
"458" 1 1 1
"459" 5 1 1
"460" 5 1 4
"461" 4 1 1
"462" 4 5 5
"463" 4 1 2
"464" 1 1 1
"466" 4 2 2
"467" 4 1 1
"468" 3 1 1
"469" 5 1 1
"470" 3 1 1
"471" 3 1 1
"472" 4 1 1
"473" 4 1 1
"474" 3 1 1
"475" 1 1 1
"476" 5 1 1
"477" 2 1 1
"478" 1 1 1
"479" 1 1 1
"480" 3 1 1
"481" 1 1 1
"482" 1 1 1
"484" 1 1 1
"485" 2 1 1
"486" 4 1 1
"487" 3 1 1
"488" 3 1 1
"489" 2 1 1
"490" 2 1 1
"491" 1 1 1
"492" 5 3 2
"493" 4 1 1
"494" 1 1 1
"495" 1 1 1
"496" 1 1 1
"497" 3 1 1
"498" 2 1 1
"499" 1 1 1
"500" 3 1 1
"501" 1 1 1
"502" 1 1 1
"503" 3 1 1
"504" 2 1 1
"505" 2 1 1
"506" 1 1 1
"507" 1 1 1
"508" 1 1 1
"509" 2 1 1
"510" 4 1 1
"511" 3 1 1
"512" 1 1 1
"513" 3 1 1
"514" 3 1 1
"515" 5 1 1
"516" 1 1 1
"517" 3 1 1
"518" 1 1 1
"519" 1 1 1
"520" 1 1 1
"521" 1 1 1
"522" 5 4 3
"523" 5 4 4
"524" 5 3 5
"525" 5 5 4
"526" 4 4 3
"527" 3 1 1
"528" 5 5 4
"529" 5 4 3
"530" 5 3 1
"531" 5 1 1
"532" 5 4 3
"533" 3 1 1
"534" 4 1 1
"535" 5 1 1
"536" 5 4 3
"537" 5 5 5
"538" 5 5 5
"539" 5 5 5
"540" 5 3 3
"541" 5 5 4
"542" 2 1 1
"543" 5 3 4
"545" 5 1 5
"546" 5 4 3
"547" 5 4 1
"548" 4 3 1
"549" 3 1 1
"550" 5 3 1
"551" 5 5 3
"552" 3 1 1
"553" 4 1 1
"554" 5 3 2
"555" 5 4 4
"556" 5 5 2
"557" 5 4 4
"558" 5 1 1
"559" 5 3 3
"560" 5 4 4
"561" 5 2 2
"562" 5 3 1
"563" 5 1 1
"564" 5 5 4
"565" 5 5 1
"567" 5 5 5
"568" 2 1 1
"569" 1 1 1
"570" 2 1 1
"571" 5 4 4
"572" 5 3 3
"573" 5 4 4
"574" 5 3 4
"575" 4 1 1
"576" 5 5 1
"577" 3 1 1
"578" 5 1 1
"579" 5 5 4
"580" 4 1 1
"581" 4 1 1
"582" 2 1 1
"583" 5 5 5
"584" 3 1 1
"585" 5 3 1
"586" 3 1 1
"587" 3 1 1
"588" 5 3 2
"589" 3 1 1
"590" 4 4 3
"591" 5 1 1
"592" 5 5 5
"593" 5 5 5
"594" 1 1 1
"595" 4 1 1
"596" 4 1 1
"597" 3 1 1
"598" 4 1 1
"599" 3 1 1
"600" 4 2 1
"601" 3 1 1
"602" 3 1 1
"603" 4 1 1
"604" 3 1 1
"605" 4 5 5
"606" 5 1 1
"607" 1 1 1
"608" 5 4 3
"609" 5 3 3
"610" 1 1 1
"611" 3 1 1
"612" 2 1 1
"613" 4 1 1
"614" 5 1 1
"615" 2 1 1
"616" 3 1 1
"618" 5 1 1
"619" 5 1 1
"620" 3 1 1
"621" 5 3 3
"622" 5 4 1
"623" 4 1 1
"624" 4 1 1
"625" 3 1 1
"626" 3 1 1
"627" 5 4 4
"628" 5 5 5
"629" 5 3 3
"630" 4 1 1
"631" 5 4 5
"632" 4 1 5
"633" 5 4 4
"634" 4 1 1
"635" 3 1 1
"636" 4 1 1
"637" 4 1 1
"638" 4 1 1
"639" 4 1 1
"640" 5 4 4
"641" 5 1 1
"642" 4 1 1
"643" 3 1 1
"644" 2 1 1
"645" 5 5 5
"646" 3 1 1
"647" 3 1 1
"648" 5 5 4
"649" 5 5 5
"650" 5 4 4
"651" 5 1 1
"652" 4 1 1
"653" 5 4 4
"654" 5 5 5
"655" 5 1 1
"656" 5 3 1
"657" 5 3 1
"658" 3 1 1
"659" 4 3 1
"660" 5 4 3
"661" 5 4 5
"662" 5 1 1
"663" 5 5 1
"664" 5 5 5
"665" 3 1 1
"666" 5 5 5
"667" 5 1 1
"668" 4 1 1
"669" 4 3 1
"670" 5 4 2
"671" 5 5 5
"672" 4 1 3
"673" 5 4 4
"674" 3 1 1
"675" 5 1 1
"676" 4 1 1
"677" 5 1 1
"678" 5 1 1
"679" 4 1 1
"680" 1 1 1
"681" 4 1 1
"682" 3 1 1
"683" 5 1 1
"684" 2 1 1
"685" 2 1 1
"686" 2 1 1
"687" 1 1 1
"688" 1 1 1
"689" 4 1 1
"690" 2 1 1
"691" 5 4 3
"692" 1 1 1
"693" 1 1 1
"694" 2 1 1
"695" 1 1 1
"696" 3 1 1
"697" 1 1 1
"698" 2 1 1
"699" 4 1 1
"700" 1 1 1
"702" 3 1 1
"703" 4 1 1
"704" 1 1 1
"705" 3 1 1
"706" 3 1 1
"707" 1 1 1
"708" 4 1 1
"709" 5 1 1
"710" 2 1 1
"711" 3 1 1
"712" 2 1 1
"713" 3 1 1
"714" 5 1 1
"715" 2 2 2
"716" 2 1 1
"717" 3 1 1
"718" 2 1 1
"719" 5 1 1
"720" 3 1 1
"721" 3 1 1
"724" 3 1 1
"725" 5 1 1
"726" 4 3 2
"727" 3 1 1
"728" 5 1 1
"729" 4 1 1
"730" 4 1 1
"731" 3 1 1
"732" 3 1 1
"733" 3 1 1
"734" 4 1 1
"735" 5 4 5
"736" 4 1 1
"737" 3 1 1
"738" 4 1 1
"739" 4 1 1
"740" 3 1 1
"741" 4 1 1
"742" 4 1 1
"743" 5 3 3
"744" 4 1 1
"745" 5 1 1
"746" 3 1 1
"747" 3 1 1
"748" 5 4 4
"749" 3 1 1
"750" 4 1 1
"751" 4 1 1
"752" 3 1 1
"753" 4 1 1
"754" 3 1 1
"755" 1 1 1
"756" 4 2 1
"757" 3 1 1
"758" 5 1 1
"759" 3 1 1
"760" 3 1 1
"761" 5 2 1
"762" 4 1 1
"763" 4 1 1
"764" 3 1 1
"765" 5 5 5
"766" 3 1 1
"767" 5 5 5
"768" 5 5 4
"769" 5 5 1
"770" 5 4 1
"771" 5 4 4
"772" 5 5 5
"773" 5 5 5
"774" 5 4 1
"775" 5 5 2
"776" 5 5 5
"777" 5 5 5
"778" 5 4 4
"779" 5 5 1
"780" 5 3 1
"781" 5 5 5
"782" 5 5 5
"783" 4 1 1
"784" 5 4 4
"785" 5 3 3
"786" 5 3 5
"787" 5 4 2
"788" 5 3 3
"789" 3 3 1
"790" 4 1 1
"791" 4 1 1
"792" 5 5 4
"793" 3 1 1
"794" 3 1 1
"795" 5 2 1
"796" 5 4 3
"797" 4 1 1
"798" 2 1 1
"799" 3 1 1
"800" 5 4 4
"801" 4 1 1
"802" 5 4 4
"803" 3 1 1
"804" 2 1 1
"805" 3 1 1
"806" 3 1 1
"807" 4 1 1
"808" 5 3 3
"809" 3 1 1
"810" 3 1 1
"811" 4 1 1
"812" 5 3 1
"813" 5 1 1
"814" 3 1 1
"815" 5 1 1
"816" 4 1 1
"817" 5 5 1
"818" 5 4 1
"819" 5 5 5
"821" 3 1 1
"822" 4 1 1
"823" 1 1 1
"824" 4 1 1
"825" 5 2 2
"826" 5 5 5
"827" 5 4 3
"828" 5 5 5
"829" 3 1 1
"830" 3 1 1
"831" 3 1 1
"832" 4 1 1
"833" 4 1 1
"834" 3 1 1
"835" 4 1 1
"836" 5 1 1
"837" 4 1 1
"838" 3 1 1
"839" 3 1 1
"840" 5 5 4
"841" 4 1 1
"843" 4 2 2
"844" 4 1 1
"845" 1 1 1
"846" 3 1 1
"847" 5 5 5
"848" 3 1 1
"849" 2 1 1
"850" 5 5 3
"851" 3 1 1
"852" 3 1 1
"853" 5 3 1
"854" 5 4 4
"855" 5 5 5
"856" 5 5 5
"857" 3 1 1
"858" 3 1 1
"859" 3 1 1
"860" 4 1 1
"861" 2 1 1
"862" 2 1 1
"863" 1 1 1
"864" 3 1 1
"865" 2 1 1
"866" 3 1 1
"867" 3 1 1
"868" 3 1 1
"869" 2 1 1
"870" 5 4 3
"871" 5 1 1
"872" 5 2 5
"873" 3 1 1
"874" 5 3 4
"875" 5 5 3
"876" 5 3 4
"877" 5 4 4
"878" 5 4 4
"879" 5 5 3
"880" 5 4 1
"881" 5 3 2
"882" 5 5 5
"883" 5 5 5
"884" 5 5 5
"885" 5 4 5
"886" 5 5 4
"887" 5 4 5
"888" 4 2 1
"889" 5 4 4
"890" 5 3 3
"891" 5 5 4
"892" 5 4 4
"893" 5 5 5
"894" 5 3 5
"895" 5 3 4
"896" 5 4 5
"897" 5 5 5
"898" 5 5 1
"899" 5 3 3
"900" 5 5 5
"901" 5 5 4
"902" 5 5 4
"903" 5 4 4
"904" 5 3 2
"905" 5 5 5
"906" 5 3 1
"907" 5 5 5
"908" 5 5 5
"909" 5 4 4
"910" 5 4 5
"911" 5 4 4
"912" 5 2 1
"913" 5 4 3
"914" 5 3 3
"915" 5 5 5
"916" 5 5 1
"917" 4 4 4
"918" 5 3 2
"919" 5 1 1
"920" 3 1 1
"921" 5 4 5
"922" 3 1 1
"923" 3 1 1
"924" 3 1 1
"925" 4 1 1
"926" 3 1 1
"927" 3 1 1
"928" 3 1 1
"929" 4 4 3
"930" 3 1 1
"931" 4 1 1
"932" 3 1 1
"933" 4 1 1
"934" 5 3 4
"935" 4 1 1
"936" 4 1 1
"937" 5 4 3
"938" 4 1 1
"939" 3 1 1
"940" 2 1 1
"941" 3 2 1
"942" 3 1 1
"943" 4 1 1
"944" 2 1 1
"945" 4 4 5
"946" 3 1 1
"947" 5 4 4
"948" 5 1 5
"949" 3 1 1
"950" 3 1 1
"951" 2 1 1
"952" 2 1 1
"953" 5 5 5
"954" 4 1 1
"955" 4 1 1
"956" 3 1 1
"957" 3 2 2
"958" 1 1 1
"959" 4 1 1
"960" 3 1 1
"961" 4 2 1
"962" 4 1 1
"963" 5 1 1
"964" 4 3 2
"965" 3 1 1
"966" 4 5 5
"967" 4 1 1
"968" 4 4 4
"969" 4 3 3
"970" 4 2 1
"971" 3 1 1
"972" 4 1 1
"973" 5 5 4
"974" 4 1 1
"976" 4 1 1
"977" 2 1 1
"978" 4 3 1
"979" 3 1 1
"980" 3 1 1
"981" 4 1 1
"982" 3 1 1
"983" 3 1 1
"984" 4 1 1
"985" 2 1 1
"986" 4 1 1
"987" 5 3 1
"988" 2 1 1
"989" 3 1 1
"990" 5 5 5
"992" 4 1 1
"993" 5 5 5
"994" 5 1 1
"995" 4 4 4
"996" 5 2 1
"997" 5 4 4
"998" 4 1 1
"999" 3 1 1
"1000" 5 4 4
"1001" 5 4 3
"1002" 5 4 1
"1003" 5 3 3
"1004" 5 1 1
"1005" 3 1 1
"1006" 3 1 1
"1007" 4 3 3
"1008" 5 1 1
"1009" 5 1 1
"1010" 5 5 5
"1011" 5 3 1
"1012" 5 4 4
"1013" 5 5 5
"1014" 3 1 1
"1015" 5 1 5
"1016" 5 4 2
"1017" 5 3 3
"1018" 5 4 4
"1019" 5 1 1
"1020" 5 4 4
"1021" 5 1 1
"1022" 5 5 5
"1023" 5 1 1
"1024" 5 1 1
"1025" 4 1 1
"1026" 3 1 1
"1027" 3 1 1
"1028" 4 1 1
"1029" 4 1 1
"1030" 5 1 1
"1031" 5 4 5
"1032" 5 1 1
"1033" 3 1 1
"1034" 5 2 4
"1035" 4 1 1
"1036" 5 3 3
"1038" 5 2 2
"1039" 5 1 1
"1040" 3 2 2
"1041" 5 1 1
"1042" 3 1 1
"1043" 4 1 1
"1044" 5 5 5
"1045" 5 5 5
"1046" 5 4 4
"1047" 5 1 1
"1048" 4 3 1
"1049" 5 5 5
"1050" 5 5 5
"1051" 5 4 2
"1052" 4 1 1
"1053" 5 5 5
"1054" 5 4 3
"1055" 3 1 1
"1056" 5 5 4
"1057" 4 4 4
"1058" 3 1 1
"1059" 3 1 1
"1060" 4 1 1
"1061" 5 3 3
"1062" 5 4 2
"1064" 5 5 5
"1065" 5 5 5
"1066" 5 1 1
"1067" 3 1 1
"1068" 3 1 1
"1069" 3 1 1
"1070" 1 1 1
"1071" 4 1 1
"1073" 4 1 1
"1074" 1 1 1
"1075" 3 1 1
"1076" 3 1 1
"1077" 2 1 1
"1078" 3 1 1
"1079" 5 1 1
"1080" 3 1 1
"1081" 3 1 1
"1082" 2 1 1
"1083" 2 1 1
"1084" 4 1 1
"1085" 3 1 1
"1086" 5 5 5
"1087" 2 1 1
"1088" 4 1 1
"1089" 3 1 1
"1090" 4 1 1
"1091" 1 1 1
"1092" 3 1 1
"1093" 2 1 1
"1094" 3 1 1
"1095" 3 1 1
"1096" 3 1 1
"1097" 3 1 1
"1098" 2 1 1
"1099" 2 1 1
"1100" 3 1 1
"1101" 2 1 1
"1102" 3 1 1
"1103" 3 1 1
"1104" 3 1 1
"1105" 1 1 1
"1106" 3 1 1
"1107" 2 1 1
"1108" 2 1 1
"1109" 3 1 1
"1110" 3 1 1
"1111" 1 1 1
"1112" 1 1 1
"1113" 1 1 1
"1114" 5 4 5
"1115" 5 1 4
"1116" 5 4 4
"1117" 5 4 1
"1118" 5 1 1
"1119" 5 3 1
"1120" 5 1 1
"1121" 5 5 2
"1122" 5 5 5
"1123" 2 1 1
"1124" 4 3 1
"1125" 5 2 2
"1126" 5 5 5
"1127" 5 5 5
"1128" 5 4 4
"1129" 5 3 1
"1130" 5 1 1
"1131" 5 3 4
"1132" 2 1 1
"1133" 3 1 1
"1134" 5 3 3
"1135" 5 1 1
"1136" 5 3 4
"1137" 3 1 1
"1138" 5 2 1
"1139" 1 1 1
"1140" 5 1 3
"1141" 5 5 5
"1142" 4 3 5
"1143" 4 1 1
"1144" 5 5 5
"1146" 5 1 5
"1147" 5 1 1
"1148" 4 1 1
"1149" 5 1 1
"1150" 5 2 1
"1151" 5 2 1
"1152" 3 1 1
"1153" 3 1 1
"1154" 5 5 5
"1155" 5 3 3
"1156" 5 4 3
"1157" 5 1 1
"1158" 4 1 1
"1159" 5 5 5
"1161" 5 4 1
"1162" 5 4 3
"1163" 5 3 4
"1164" 5 3 3
"1165" 5 3 4
"1166" 5 4 3
"1167" 5 5 5
"1168" 5 5 5
"1169" 4 3 1
"1170" 5 2 3
"1171" 5 1 2
"1172" 5 4 1
"1173" 5 5 4
"1174" 5 4 2
"1175" 5 5 5
"1176" 5 3 4
"1177" 5 4 4
"1178" 5 3 4
"1179" 5 4 4
"1180" 5 5 1
"1181" 4 1 1
"1182" 5 3 5
"1184" 5 3 2
"1185" 5 3 2
"1186" 5 3 3
"1187" 5 4 5
"1188" 5 4 3
"1189" 5 1 1
"1190" 5 5 5
"1191" 5 1 3
"1192" 5 3 3
"1193" 5 4 4
"1194" 2 1 1
"1195" 5 1 1
"1196" 3 1 1
"1198" 5 3 1
"1199" 5 1 1
"1200" 3 1 1
"1201" 5 4 1
"1202" 5 4 4
"1203" 3 1 1
"1204" 5 2 1
"1205" 5 3 1
"1206" 4 3 1
"1207" 2 1 1
"1208" 5 1 1
"1209" 4 1 1
"1210" 5 2 1
"1211" 5 3 3
"1212" 2 1 1
"1213" 5 4 3
"1214" 4 1 1
"1215" 5 5 5
"1216" 4 1 1
"1217" 3 1 1
"1218" 1 1 1
"1220" 5 5 1
"1221" 5 1 1
"1222" 5 1 1
"1223" 5 1 1
"1224" 4 1 1
"1225" 5 1 1
"1226" 5 1 1
"1227" 3 1 1
"1228" 3 1 1
"1229" 5 1 1
"1230" 3 1 1
"1231" 2 1 1
"1232" 2 1 1
"1233" 1 1 1
"1234" 1 1 1
"1235" 3 1 1
"1236" 4 1 1
"1237" 5 1 1
"1238" 5 1 1
"1239" 3 1 1
"1240" 3 1 1
"1241" 4 1 1
"1242" 3 1 1
"1243" 4 1 1
"1244" 5 1 1
"1245" 1 1 1
"1246" 2 1 1
"1247" 2 1 1
"1248" 4 1 1
"1249" 5 3 1
"1250" 4 1 1
"1251" 3 1 1
"1252" 5 1 1
"1253" 2 1 1
"1254" 4 1 1
"1255" 3 1 1
"1256" 3 1 1
"1257" 4 1 1
"1258" 4 1 1
"1259" 3 1 1
"1260" 4 1 1
"1261" 4 1 1
"1262" 4 1 1
"1263" 4 1 1
"1264" 5 1 1
"1265" 4 1 1
"1266" 2 1 1
"1267" 3 1 1
"1268" 4 1 1
"1269" 2 1 1
"1270" 5 1 1
"1271" 2 1 1
"1272" 5 1 1
"1273" 2 1 1
"1274" 3 1 1
"1275" 4 1 1
"1276" 1 1 1
"1277" 3 1 1
"1278" 3 1 1
"1279" 4 1 1
"1280" 1 3 1
"1281" 4 1 1
"1282" 3 1 1
"1283" 1 1 1
"1284" 4 1 1
"1285" 4 1 1
"1286" 4 1 1
"1287" 3 1 1
"1288" 3 2 1
"1289" 4 1 1
"1290" 4 4 1
"1291" 3 1 1
"1292" 5 4 1
"1293" 4 1 1
"1294" 1 1 1
"1295" 5 5 5
"1296" 5 1 1
"1297" 4 5 5
"1298" 4 1 1
"1299" 5 5 4
"1300" 4 3 1
"1301" 5 5 3
"1302" 3 4 5
"1303" 1 1 1
"1304" 3 2 2
"1305" 4 1 1
"1306" 5 5 4
"1307" 5 5 1
"1308" 1 1 1
"1309" 2 1 1
"1310" 5 3 4
"1311" 5 4 5
"1312" 5 4 5
"1313" 5 5 5
"1314" 5 4 4
"1315" 5 5 5
"1316" 5 3 5
"1317" 5 1 5
"1318" 3 1 1
"1319" 5 3 1
"1320" 3 1 1
"1321" 5 4 2
"1322" 5 5 1
"1323" 4 5 5
"1324" 5 4 4
"1325" 5 5 5
"1326" 5 5 1
"1327" 3 1 1
"1328" 5 1 4
"1330" 5 4 5
"1331" 2 1 1
"1332" 5 3 2
"1333" 3 1 1
"1334" 1 1 1
"1335" 5 5 4
"1337" 5 1 4
"1338" 4 4 2
"1339" 5 5 5
"1340" 3 1 1
"1341" 5 1 1
"1342" 5 1 1
"1343" 1 1 1
"1344" 5 1 4
"1345" 1 1 1
"1346" 5 1 1
"1347" 5 3 3
"1348" 5 3 5
"1349" 3 1 1
"1350" 5 4 4
"1351" 5 5 3
"1352" 1 1 1
"1353" 5 5 2
"1354" 3 1 1
"1355" 2 1 1
"1356" 5 4 2
"1357" 3 1 1
"1358" 5 1 1
"1359" 3 1 1
"1360" 5 4 5
"1361" 5 5 5
"1362" 2 1 1
"1363" 5 3 1
"1364" 5 2 2
"1365" 5 3 2
"1366" 5 3 4
"1367" 5 2 2
"1368" 5 3 2
"1369" 4 3 1
"1370" 5 5 5
"1371" 5 5 4
"1372" 5 3 3
"1373" 5 3 2
"1374" 5 2 3
"1376" 5 2 5
"1377" 5 3 4
"1378" 5 3 3
"1379" 5 3 4
"1380" 5 5 5
"1381" 5 1 4
"1382" 5 4 4
"1383" 4 1 1
"1384" 2 1 1
"1385" 3 1 1
"1386" 3 1 1
"1387" 2 1 1
"1388" 3 1 1
"1389" 3 1 1
"1390" 5 2 1
"1391" 5 3 3
